no_of_bedrooms,no_of_bathrooms,flat_area_in_sqft,lot_area_in_sqft,no_of_floors,waterfront_view,condition_of_the_house,overall_grade,area_of_the_house_from_basement_in_sqft,basement_area_in_sqft,age_of_house_in_years,zipcode,latitude,longitude,living_area_after_renovation_in_sqft,lot_area_after_renovation_in_sqft,does_basement_exist
3,2.25,1820.0,9670.0,2.0,no,fair,8,1820.0,0,34,98052,47.6382,-122.11,2160.0,11424,0
3,1.5,1660.0,4800.0,2.0,no,fair,8,1660.0,0,111,98119,47.6352,-122.358,1690.0,4000,0
3,2.5,2390.0,6441.0,2.0,no,fair,7,2390.0,0,16,98038,47.3659,-122.029,2180.0,7346,0
5,2.0,2260.0,12500.0,1.0,no,good,8,1130.0,1130,58,98032,47.3887,-122.286,1360.0,18000,1
5,2.0,2080.0,4000.0,1.0,no,good,6,1040.0,1040,109,98144,47.5858,-122.308,1940.0,6000,1
2,2.5,1170.0,1394.0,2.0,no,fair,8,1170.0,0,17,98122,47.6131,-122.297,1250.0,3136,0
4,2.0,2260.0,7680.0,1.0,no,good,7,1130.0,1130,71,98177,47.7193,-122.361,1800.0,7680,1
3,2.5,2190.0,10370.0,2.0,no,fair,9,2190.0,0,31,98074,47.6218,-122.03,2470.0,10472,0
5,2.5,2300.0,28480.0,2.0,no,fair,6,2300.0,0,24,98053,47.6403,-121.964,1880.0,26720,0
2,1.0,940.0,4000.0,1.0,no,fair,6,720.0,220,76,98199,47.6488,-122.385,1180.0,6000,1
4,2.5,2820.0,8307.0,2.0,no,fair,9,2820.0,0,28,98074,47.6253,-122.027,2820.0,8307,0
1,1.0,1060.0,54846.0,1.0,yes,fair,5,1060.0,0,83,98070,47.4716,-122.445,2258.0,31762,0
3,2.25,1690.0,14615.0,2.0,no,good,7,1690.0,0,39,98045,47.4492,-121.78,1390.0,11360,0
5,1.75,2840.0,12870.0,2.0,no,good,7,2840.0,0,93,98178,47.4961,-122.235,2170.0,9612,0
3,2.5,2588.0,5701.0,2.0,no,fair,8,2588.0,0,10,98042,47.3449,-122.151,2389.0,5702,0
3,3.0,3570.0,6250.0,2.0,no,fair,10,2710.0,860,33,98116,47.5624,-122.399,2550.0,7596,1
3,2.25,2060.0,9552.0,1.0,no,good,9,1610.0,450,43,98040,47.5402,-122.231,2930.0,11212,1
2,2.0,1040.0,5796.0,1.0,no,good,6,1040.0,0,97,98155,47.7362,-122.29,2300.0,5796,0
2,1.5,1000.0,1075.0,2.0,no,fair,7,840.0,160,11,98144,47.5708,-122.288,1000.0,1083,1
3,1.0,1320.0,5500.0,1.0,no,fair,7,1320.0,0,63,98116,47.5705,-122.398,1480.0,5250,0
5,2.75,2620.0,6389.0,2.0,no,fair,9,2620.0,0,11,98028,47.77,-122.236,2620.0,4504,0
3,1.0,1160.0,10384.0,1.0,no,good,6,1160.0,0,49,98038,47.3634,-122.027,1200.0,9880,0
3,1.5,1380.0,11130.0,1.0,no,fair,7,1380.0,0,58,98003,47.3146,-122.323,1380.0,9200,0
4,2.5,2080.0,4080.0,1.0,no,excellent,7,1040.0,1040,56,98144,47.572,-122.29,1340.0,4080,1
5,2.5,2430.0,6168.0,2.0,no,fair,8,2430.0,0,11,98056,47.5237,-122.199,2150.0,8400,0
3,2.5,1210.0,1200.0,3.0,no,fair,8,1210.0,0,10,98103,47.6543,-122.345,1210.0,1200,0
3,1.0,1160.0,7491.0,1.0,no,good,6,1160.0,0,101,98177,47.7024,-122.359,1800.0,2267,0
3,2.25,1670.0,6240.0,1.0,no,good,8,1240.0,430,44,98008,47.6413,-122.113,1910.0,7000,1
4,3.5,4350.0,6000.0,2.0,no,excellent,10,2970.0,1380,110,98112,47.6277,-122.286,4190.0,7200,1
4,3.25,1900.0,2631.0,2.0,no,fair,9,1250.0,650,4,98144,47.5869,-122.311,1710.0,4502,1
5,2.0,2280.0,19000.0,1.5,no,fair,6,2280.0,0,94,98166,47.4683,-122.359,1790.0,11800,0
2,1.0,740.0,6460.0,1.0,no,fair,6,740.0,0,65,98146,47.5077,-122.344,1170.0,6975,0
2,2.5,1590.0,1845.0,2.0,no,fair,9,1590.0,0,21,98033,47.6897,-122.175,2320.0,3174,0
3,2.25,2160.0,37000.0,1.5,no,good,7,1760.0,400,85,98052,47.7297,-122.139,2540.0,37000,1
3,1.75,1340.0,9975.0,1.0,no,good,7,1340.0,0,57,98033,47.7012,-122.169,1340.0,10050,0
2,1.0,1050.0,4800.0,1.0,no,good,7,1050.0,0,49,98146,47.5128,-122.388,1230.0,4800,0
3,1.5,1220.0,9000.0,1.0,no,good,7,1220.0,0,50,98042,47.3642,-122.109,1220.0,9472,0
7,3.5,2830.0,8625.0,1.0,no,good,8,1830.0,1000,61,98133,47.7493,-122.355,1570.0,8400,1
4,1.75,2540.0,7620.0,1.0,no,fair,8,1320.0,1220,70,98116,47.5709,-122.406,2540.0,8613,1
3,1.0,1730.0,7950.0,1.0,no,good,7,1180.0,550,57,98198,47.3644,-122.312,1830.0,8890,1
3,1.75,1670.0,5209.0,1.5,no,excellent,7,1670.0,0,110,98118,47.5362,-122.271,1990.0,4960,0
3,1.0,1620.0,9450.0,1.5,no,fair,7,1620.0,0,90,98168,47.5136,-122.313,2070.0,11970,0
3,1.75,1560.0,8456.0,1.0,no,excellent,7,1560.0,0,48,98028,47.7769,-122.25,2230.0,13109,0
5,2.75,2160.0,5720.0,1.0,no,excellent,7,1500.0,660,68,98144,47.5728,-122.304,2160.0,4996,1
3,1.0,1150.0,8050.0,1.5,no,good,7,1150.0,0,62,98032,47.374,-122.296,1360.0,8050,0
4,2.5,2160.0,7000.0,2.0,no,good,9,2160.0,0,29,98029,47.5659,-122.013,2300.0,7440,0
3,1.75,1560.0,5223.0,1.0,no,good,7,810.0,750,78,98125,47.7175,-122.288,1440.0,8491,1
4,2.75,2810.0,5497.0,2.0,no,fair,9,2810.0,0,7,98052,47.7081,-122.116,2990.0,5842,0
4,2.75,2210.0,13235.0,2.0,no,fair,8,1730.0,480,30,98003,47.3541,-122.303,1750.0,7542,1
2,1.75,1130.0,276170.0,1.0,no,fair,8,1130.0,0,12,98022,47.2673,-122.027,2092.0,217800,0
5,1.75,2110.0,5000.0,1.5,no,good,7,1250.0,860,72,98115,47.6745,-122.287,1720.0,5000,1
3,2.5,1610.0,6732.0,2.0,no,fair,7,1610.0,0,24,98030,47.3658,-122.172,1680.0,7414,0
3,2.5,2480.0,6600.0,2.0,no,fair,8,2480.0,0,16,98053,47.6313,-122.008,2310.0,6656,0
3,2.25,2230.0,4551.0,1.5,no,excellent,8,1450.0,780,90,98178,47.5078,-122.236,2060.0,7200,1
4,1.75,1610.0,9652.0,1.0,no,excellent,7,1610.0,0,49,98042,47.3281,-122.135,1220.0,9800,0
3,1.75,3670.0,11884.0,1.0,no,good,9,1950.0,1720,39,98006,47.5604,-122.133,3020.0,9747,1
3,2.25,1830.0,11331.0,1.0,no,fair,7,1250.0,580,53,98001,47.2899,-122.287,2240.0,16433,1
3,2.5,2540.0,8073.0,1.0,no,good,8,1880.0,660,81,98177,47.7176,-122.36,2110.0,7702,1
3,2.25,1450.0,1486.0,2.0,no,fair,8,1160.0,290,12,98116,47.5694,-122.387,1370.0,1437,1
4,3.25,3180.0,194278.0,2.0,no,fair,10,3180.0,0,13,98059,47.4711,-122.084,2200.0,178160,0
3,2.25,2070.0,15002.0,1.5,no,fair,8,2070.0,0,63,98155,47.7635,-122.274,2070.0,15002,0
2,1.0,620.0,4455.0,1.0,no,fair,6,620.0,0,91,98117,47.6877,-122.395,1180.0,5000,0
3,2.5,2190.0,8528.0,1.0,no,fair,8,1760.0,430,27,98033,47.6943,-122.209,2060.0,9811,1
4,2.25,1930.0,7452.0,1.0,no,fair,7,1430.0,500,34,98031,47.4098,-122.189,1714.0,7200,1
7,3.75,5100.0,21802.0,2.0,no,fair,10,3640.0,1460,17,98075,47.595,-122.04,3350.0,10005,1
3,2.0,2910.0,6600.0,2.0,no,good,7,1920.0,990,118,98118,47.5576,-122.281,1370.0,5500,1
4,1.5,1880.0,6200.0,1.0,no,excellent,8,1440.0,440,64,98146,47.5035,-122.384,2070.0,6500,1
3,1.0,1420.0,10980.0,1.0,no,good,7,1200.0,220,64,98006,47.574,-122.138,1630.0,9763,1
3,1.0,1240.0,7300.0,1.0,no,fair,7,1240.0,0,50,98033,47.6775,-122.168,1240.0,8260,0
4,2.25,2115.0,6234.0,2.0,no,fair,7,2115.0,0,20,98002,47.285,-122.201,2440.0,6366,0
4,2.5,1710.0,3500.0,2.0,no,fair,7,1710.0,0,4,98002,47.3448,-122.217,1710.0,3500,0
4,2.75,2050.0,7171.0,1.0,no,fair,8,1540.0,510,30,98074,47.6194,-122.042,1960.0,7110,1
3,1.5,1150.0,3323.0,2.0,no,fair,7,1150.0,0,30,98029,47.5707,-122.017,1150.0,2980,0
2,2.5,1390.0,1302.0,2.0,no,fair,7,1390.0,0,31,98003,47.3081,-122.329,1390.0,2052,0
4,3.25,3020.0,13457.0,1.0,no,excellent,9,3020.0,0,62,98133,47.7174,-122.336,2120.0,7553,0
1,1.0,730.0,5005.0,1.0,no,good,5,730.0,0,73,98117,47.6992,-122.364,1630.0,5667,0
4,2.0,2300.0,3400.0,1.5,no,excellent,8,1550.0,750,103,98117,47.678,-122.361,1670.0,4200,1
4,2.5,2070.0,11286.0,2.0,no,fair,8,2070.0,0,22,98056,47.5284,-122.173,2440.0,10826,0
3,1.5,1490.0,9630.0,1.0,no,good,8,1490.0,0,59,98028,47.7623,-122.256,1960.0,10469,0
4,2.5,3000.0,6892.0,2.0,no,fair,8,3000.0,0,13,98072,47.7623,-122.165,3000.0,6589,0
4,2.0,1820.0,9450.0,1.0,no,fair,7,1100.0,720,56,98155,47.7607,-122.329,1540.0,9450,1
4,1.75,2160.0,7417.0,1.0,no,good,7,1360.0,800,35,98056,47.5122,-122.181,1880.0,8022,1
3,1.75,1520.0,8625.0,1.0,no,fair,8,1520.0,0,42,98011,47.7687,-122.223,2080.0,9200,0
3,1.75,2010.0,4905.0,1.0,no,excellent,7,1230.0,780,106,98122,47.6105,-122.309,2210.0,1834,1
3,2.0,2130.0,4000.0,2.0,no,fair,7,2130.0,0,110,98115,47.6741,-122.323,2010.0,4000,0
2,1.75,1590.0,5136.0,1.5,no,fair,9,1320.0,270,91,98199,47.6424,-122.411,2520.0,5243,1
4,3.0,2940.0,7108.0,2.0,no,fair,9,2220.0,720,7,98136,47.5437,-122.395,2240.0,7950,1
3,2.5,3110.0,9015.0,2.0,no,fair,9,3110.0,0,28,98058,47.4369,-122.147,2650.0,8960,0
4,2.5,2460.0,5091.0,2.0,no,fair,9,2460.0,0,15,98058,47.45,-122.121,2490.0,4750,0
3,2.75,3580.0,14217.0,2.0,no,good,10,2210.0,1370,29,98023,47.3244,-122.379,3990.0,14674,1
3,2.0,2330.0,4950.0,1.5,no,fair,6,1430.0,900,118,98118,47.5585,-122.29,1160.0,5115,1
3,1.75,1310.0,18400.0,1.0,no,fair,7,870.0,440,64,98168,47.5035,-122.302,1840.0,10790,1
4,2.5,2360.0,43017.0,2.0,no,fair,9,2360.0,0,29,98077,47.774,-122.077,2750.0,40334,0
5,3.75,5350.0,15360.0,1.0,no,fair,10,3040.0,2310,10,98004,47.648,-122.218,3740.0,15940,1
4,1.5,1840.0,4337.0,2.0,no,good,8,1840.0,0,101,98112,47.6312,-122.307,2250.0,4337,0
4,2.25,1400.0,7341.0,1.0,no,fair,7,1300.0,100,57,98155,47.7565,-122.305,2090.0,7410,1
4,4.25,6410.0,43838.0,2.5,no,good,10,5610.0,800,112,98144,47.5703,-122.28,2270.0,6630,1
5,1.75,3690.0,36036.0,1.0,no,fair,9,1890.0,1800,33,98042,47.3473,-122.085,2680.0,44131,1
3,2.25,1489.0,2800.0,2.0,no,fair,7,1489.0,0,7,98002,47.3452,-122.215,1584.0,3200,0
2,1.0,1060.0,4000.0,1.0,no,good,7,1060.0,0,108,98115,47.6731,-122.315,1770.0,4000,0
3,2.5,2320.0,9610.0,1.0,no,fair,9,1730.0,590,28,98011,47.7394,-122.204,2450.0,9608,1
3,1.0,1160.0,4360.0,1.0,no,good,8,1160.0,0,89,98105,47.6718,-122.291,1810.0,4360,0
3,3.25,1980.0,2850.0,3.0,no,fair,7,1980.0,0,31,98103,47.6597,-122.331,1630.0,4560,0
3,2.25,1990.0,7340.0,2.0,no,fair,8,1990.0,0,34,98072,47.7579,-122.141,2180.0,11223,0
3,1.0,1100.0,5400.0,1.5,no,fair,7,1100.0,0,110,98199,47.6604,-122.396,1770.0,4400,0
4,2.5,3600.0,21794.0,2.0,no,good,10,3600.0,0,28,98077,47.7121,-122.072,3410.0,19864,0
3,1.75,1810.0,7950.0,1.0,no,good,7,1810.0,0,50,98008,47.6236,-122.117,1680.0,7725,0
4,4.0,3650.0,18223.0,2.0,no,fair,9,3330.0,320,5,98006,47.5442,-122.116,3220.0,11022,1
3,1.75,1580.0,7344.0,1.0,no,excellent,7,1580.0,0,107,98126,47.5256,-122.38,1580.0,6207,0
3,2.0,1920.0,5688.0,1.0,no,fair,9,1920.0,0,11,98022,47.1952,-121.976,2384.0,4802,0
2,1.0,940.0,15000.0,1.0,no,fair,7,940.0,0,58,98055,47.4312,-122.195,1450.0,15000,0
4,3.0,3110.0,18843.0,2.0,no,fair,9,3110.0,0,23,98058,47.4619,-122.154,3080.0,14735,0
2,1.0,760.0,6407.0,1.0,no,fair,6,760.0,0,75,98178,47.4977,-122.259,1050.0,8580,0
4,2.25,2620.0,10920.0,1.0,no,fair,9,2620.0,0,53,98005,47.6117,-122.164,2370.0,11907,0
5,2.5,2640.0,7096.0,2.0,no,fair,7,2640.0,0,15,98053,47.6827,-122.038,2640.0,4850,0
2,1.0,1120.0,7560.0,1.0,no,fair,6,1120.0,0,71,98177,47.77,-122.39,1120.0,7200,0
3,1.75,1410.0,4080.0,1.0,no,good,7,1000.0,410,68,98117,47.6808,-122.384,1410.0,4080,1
3,2.5,1370.0,9253.0,1.0,no,fair,7,1090.0,280,24,98042,47.3717,-122.073,1470.0,9253,1
4,2.0,1720.0,5413.0,2.0,no,fair,7,1470.0,250,80,98115,47.6929,-122.321,1510.0,5413,1
4,3.5,3470.0,7396.0,2.0,no,fair,8,2520.0,950,39,98125,47.7146,-122.279,2360.0,10541,1
4,2.25,2080.0,7526.0,1.0,no,good,7,1280.0,800,33,98030,47.3762,-122.183,1200.0,7500,1
3,2.25,1490.0,4522.0,2.0,no,fair,7,1490.0,0,9,98028,47.7611,-122.233,1580.0,4667,0
3,1.0,1120.0,10500.0,1.0,no,good,7,1120.0,0,52,98034,47.7267,-122.226,1320.0,10500,0
3,1.5,1240.0,11200.0,1.0,no,good,7,1240.0,0,64,98006,47.5716,-122.138,1240.0,11008,0
4,1.75,1710.0,8947.0,1.0,no,good,7,1710.0,0,62,98007,47.5947,-122.135,1360.0,10133,0
4,2.25,3470.0,8000.0,1.5,no,fair,9,2360.0,1110,112,98122,47.6149,-122.287,3010.0,8000,1
1,1.0,1310.0,8667.0,1.5,no,bad,6,1310.0,0,100,98122,47.6059,-122.313,1130.0,4800,0
2,1.0,720.0,6321.0,1.0,no,fair,6,720.0,0,78,98118,47.551,-122.289,920.0,5684,0
3,1.75,2260.0,8512.0,1.0,no,fair,7,1130.0,1130,70,98125,47.7129,-122.304,2240.0,8040,1
2,1.75,1640.0,6750.0,1.0,no,good,8,1340.0,300,79,98125,47.7068,-122.308,1760.0,7490,1
4,2.5,4260.0,36360.0,1.5,no,good,8,4100.0,160,83,98155,47.764,-122.302,2430.0,17888,1
4,2.5,2370.0,15336.0,2.0,no,fair,8,2370.0,0,23,98024,47.5633,-121.901,2110.0,15925,0
4,1.75,1770.0,12875.0,1.0,no,fair,8,1770.0,0,30,98028,47.7438,-122.247,2150.0,12875,0
2,1.0,700.0,8174.0,1.0,no,fair,5,700.0,0,77,98146,47.5136,-122.349,1250.0,8046,0
3,2.0,1330.0,35060.0,1.0,no,fair,7,1330.0,0,29,98092,47.3128,-122.13,1660.0,35100,0
3,2.25,1480.0,1384.0,3.0,no,fair,8,1480.0,0,10,98103,47.691,-122.342,1310.0,1329,0
4,2.25,2100.0,8050.0,2.0,no,fair,8,2100.0,0,40,98055,47.4391,-122.193,2190.0,7700,0
4,2.25,2190.0,6800.0,1.0,no,excellent,7,1340.0,850,49,98011,47.7367,-122.195,1560.0,7611,1
3,1.5,1470.0,9570.0,1.0,no,fair,7,1280.0,190,77,98125,47.7032,-122.306,1390.0,9570,1
3,1.0,1200.0,6825.0,1.0,no,fair,7,1200.0,0,64,98133,47.7491,-122.353,1470.0,8100,0
4,3.25,2800.0,5291.0,2.0,no,fair,7,2800.0,0,7,98022,47.1937,-121.977,2380.0,5291,0
4,2.5,2620.0,4469.0,2.0,no,fair,7,2620.0,0,10,98042,47.3663,-122.115,2250.0,4500,0
2,1.0,1150.0,12861.0,1.0,no,fair,6,1150.0,0,59,98058,47.4493,-122.171,1170.0,7574,0
4,3.5,4300.0,70407.0,2.0,no,fair,10,2710.0,1590,26,98058,47.4472,-122.092,3520.0,26727,1
2,1.0,910.0,8155.0,1.0,no,good,6,910.0,0,70,98155,47.7399,-122.3,1240.0,8155,0
3,2.25,1650.0,7800.0,1.0,no,fair,7,1260.0,390,49,98011,47.7377,-122.197,1760.0,8268,1
3,2.25,1920.0,8412.0,1.0,no,fair,8,1460.0,460,41,98006,47.5578,-122.132,2490.0,8700,1
2,1.0,1680.0,9250.0,1.0,no,fair,7,860.0,820,49,98072,47.7618,-122.162,1590.0,9542,1
4,2.5,2790.0,45902.0,2.0,no,fair,9,2790.0,0,31,98077,47.7674,-122.086,2890.0,42421,0
3,2.75,2500.0,6350.0,2.0,no,excellent,9,2370.0,130,39,98122,47.6035,-122.285,2090.0,5454,1
2,2.0,1590.0,8000.0,1.0,no,fair,7,910.0,680,34,98055,47.459,-122.205,1590.0,8364,1
3,1.0,1030.0,5350.0,1.0,no,fair,7,1030.0,0,94,98055,47.4905,-122.206,1030.0,5250,0
3,2.0,1380.0,8536.0,2.0,no,good,7,1380.0,0,63,98148,47.4374,-122.335,1260.0,8750,0
5,3.25,4560.0,19080.0,1.0,no,excellent,9,2490.0,2070,55,98004,47.6291,-122.226,3390.0,20140,1
3,1.0,1190.0,6250.0,1.0,no,fair,7,990.0,200,64,98108,47.5658,-122.292,1760.0,6434,1
2,1.5,982.0,846.0,2.0,no,fair,8,806.0,176,12,98133,47.7034,-122.345,1010.0,3844,1
4,2.0,2070.0,7980.0,1.5,no,good,7,2070.0,0,78,98146,47.5092,-122.386,1600.0,7980,0
4,2.5,3290.0,6465.0,2.0,no,fair,9,3290.0,0,16,98075,47.5981,-121.976,3100.0,5929,0
3,2.5,2080.0,9612.0,1.0,no,good,8,1700.0,380,78,98125,47.7293,-122.283,2560.0,10202,1
4,2.25,2860.0,15054.0,1.0,no,fair,8,1460.0,1400,61,98155,47.7655,-122.3,1730.0,18525,1
4,2.25,2100.0,2500.0,3.0,no,fair,8,2100.0,0,17,98115,47.6726,-122.298,1660.0,4000,0
5,3.0,2830.0,7500.0,2.0,no,fair,9,2460.0,370,95,98105,47.6579,-122.277,2900.0,5000,1
3,1.0,1340.0,306848.0,1.0,no,fair,5,1340.0,0,65,98019,47.7534,-121.912,1800.0,128066,0
5,2.5,2840.0,15598.0,1.0,no,good,8,1470.0,1370,43,98059,47.4693,-122.117,2570.0,14930,1
4,2.0,2130.0,8400.0,1.0,no,fair,7,1350.0,780,56,98031,47.4133,-122.209,1550.0,8596,1
2,1.0,860.0,7204.0,1.0,no,fair,7,860.0,0,100,98106,47.5361,-122.351,1200.0,7500,0
4,2.5,3220.0,4400.0,2.0,no,fair,9,2180.0,1040,81,98199,47.6325,-122.394,3000.0,5000,1
3,1.75,1260.0,9346.0,1.0,no,good,7,1260.0,0,55,98030,47.3713,-122.186,1800.0,9705,0
2,1.0,860.0,5040.0,1.0,no,fair,7,860.0,0,62,98117,47.6977,-122.365,1570.0,5040,0
3,2.25,1710.0,11500.0,1.0,no,fair,7,1210.0,500,40,98028,47.7675,-122.267,1800.0,11500,1
4,2.0,2490.0,9525.0,2.0,no,excellent,9,2490.0,0,50,98040,47.5639,-122.217,2770.0,9525,0
4,2.25,2620.0,98881.0,1.0,no,fair,7,1820.0,800,66,98070,47.4662,-122.453,1728.0,95832,1
3,1.75,1410.0,4080.0,1.5,no,good,7,1410.0,0,91,98105,47.6695,-122.32,1820.0,4080,0
3,2.5,2680.0,7757.0,2.0,no,fair,8,2680.0,0,28,98023,47.2918,-122.346,2430.0,8231,0
5,1.75,2320.0,7700.0,1.0,no,excellent,7,1290.0,1030,56,98001,47.3426,-122.285,1740.0,7210,1
3,2.25,1970.0,4564.0,1.0,no,fair,8,1470.0,500,59,98199,47.6703,-122.41,1980.0,5000,1
3,2.25,2020.0,21010.0,2.0,no,fair,7,2020.0,0,23,98014,47.6988,-121.915,1850.0,18151,0
3,2.5,2500.0,7746.0,2.0,no,good,10,1910.0,590,25,98112,47.6393,-122.311,2480.0,5099,1
5,4.0,4390.0,6656.0,2.0,no,fair,9,2930.0,1460,10,98199,47.648,-122.397,1560.0,6656,1
3,1.75,1420.0,1189.0,3.0,no,fair,8,1420.0,0,12,98103,47.6625,-122.352,1380.0,1196,0
3,1.5,2790.0,6900.0,1.0,no,fair,8,1700.0,1090,63,98125,47.7328,-122.288,2410.0,8100,1
4,2.5,2080.0,7047.0,2.0,no,fair,8,2080.0,0,22,98092,47.2627,-122.215,2580.0,7227,0
3,1.0,1140.0,8144.0,1.0,no,fair,7,1140.0,0,62,98155,47.7464,-122.317,1150.0,8144,0
3,1.75,1460.0,7800.0,1.0,no,okay,7,1040.0,420,39,98023,47.3035,-122.382,1310.0,7865,1
4,2.0,1650.0,9305.0,1.0,no,good,6,1650.0,0,58,98034,47.7183,-122.213,1860.0,7486,0
3,2.5,2490.0,4244.0,2.0,no,fair,9,2490.0,0,13,98042,47.3705,-122.131,2490.0,4748,0
3,1.0,1020.0,13504.0,1.0,no,excellent,7,1020.0,0,59,98056,47.5121,-122.17,1110.0,11158,0
4,2.5,2220.0,6800.0,2.0,no,fair,7,2220.0,0,16,98059,47.49,-122.15,2220.0,5303,0
3,1.0,1600.0,5001.0,1.5,no,excellent,6,1080.0,520,88,98125,47.7232,-122.289,1340.0,5001,1
5,3.0,3880.0,8432.0,2.0,no,fair,7,3880.0,0,14,98056,47.4806,-122.176,2620.0,5623,0
5,3.0,2570.0,5590.0,1.0,no,fair,8,1580.0,990,9,98034,47.7271,-122.228,2020.0,10500,1
3,2.0,1280.0,14972.0,1.0,no,fair,7,1280.0,0,55,98031,47.4129,-122.209,1800.0,9698,0
4,2.75,3190.0,5408.0,2.0,no,fair,9,3190.0,0,13,98075,47.5903,-121.988,3160.0,5773,0
3,1.5,1750.0,32500.0,1.0,no,good,7,1750.0,0,52,98027,47.5316,-121.959,1820.0,102801,0
3,2.25,2220.0,15757.0,1.0,no,fair,8,1280.0,940,36,98074,47.6212,-122.043,2020.0,14098,1
3,1.75,1610.0,14000.0,1.0,no,good,7,1050.0,560,41,98010,47.3429,-122.036,1550.0,10080,1
4,3.0,4190.0,8805.0,2.5,no,excellent,9,3490.0,700,90,98112,47.6181,-122.284,3780.0,8558,1
3,2.5,1820.0,4883.0,2.0,no,fair,9,1820.0,0,13,98028,47.7355,-122.224,2720.0,5002,0
3,2.0,2500.0,10697.0,1.0,no,fair,8,2500.0,0,24,98022,47.1927,-122.01,2560.0,9772,0
3,1.0,1080.0,8100.0,1.0,no,good,7,1080.0,0,63,98155,47.777,-122.307,1080.0,8100,0
3,3.5,3190.0,6776.0,2.0,no,fair,10,3190.0,0,20,98074,47.6348,-122.064,3230.0,7189,0
4,3.5,3530.0,8126.0,2.0,no,fair,10,3530.0,0,11,98033,47.6847,-122.2,2660.0,8126,0
3,2.25,2220.0,9800.0,2.0,no,fair,8,2220.0,0,31,98155,47.7635,-122.286,2420.0,10232,0
7,2.75,3410.0,4056.0,1.5,no,good,8,2130.0,1280,112,98102,47.6454,-122.316,2510.0,4056,1
2,2.25,1460.0,1623.0,2.0,no,fair,8,1260.0,200,13,98115,47.6764,-122.301,1460.0,1137,1
4,3.5,2550.0,3600.0,2.0,no,fair,8,1880.0,670,21,98177,47.7709,-122.39,2090.0,6000,1
3,1.75,2210.0,16200.0,1.0,no,fair,8,1390.0,820,60,98005,47.5924,-122.175,2050.0,16200,1
6,5.0,3028.0,18055.0,2.0,no,fair,7,3028.0,0,13,98030,47.3651,-122.197,1400.0,34575,0
3,2.5,2720.0,6439.0,2.0,no,fair,9,2720.0,0,13,98065,47.5422,-121.86,3180.0,7320,0
1,0.75,470.0,15000.0,1.0,no,fair,4,470.0,0,71,98014,47.6554,-121.908,1730.0,22500,0
3,1.0,1240.0,18000.0,1.0,no,okay,7,1240.0,0,75,98198,47.3514,-122.315,1240.0,18000,0
3,2.75,2930.0,5569.0,1.0,no,fair,9,1860.0,1070,14,98072,47.7648,-122.164,2580.0,11045,1
2,1.75,1680.0,8367.0,1.0,no,fair,6,840.0,840,104,98115,47.6976,-122.288,1830.0,6720,1
3,1.5,1030.0,6969.0,1.0,no,good,6,1030.0,0,97,98108,47.5492,-122.3,1420.0,6000,0
3,2.5,1980.0,9725.0,2.0,no,fair,8,1980.0,0,24,98045,47.4856,-121.802,2070.0,9834,0
1,1.0,690.0,1950.0,1.0,no,fair,6,690.0,0,90,98117,47.6849,-122.374,1650.0,4864,0
3,2.5,1850.0,6676.0,2.0,no,fair,7,1850.0,0,32,98023,47.3103,-122.36,1700.0,6663,0
2,1.0,990.0,45528.0,1.0,no,good,7,990.0,0,26,98070,47.5013,-122.463,1730.0,45528,0
4,2.0,2470.0,5080.0,1.5,no,fair,6,1970.0,500,70,98106,47.5308,-122.348,1060.0,5080,1
2,1.0,970.0,3400.0,1.0,no,fair,7,970.0,0,94,98109,47.6444,-122.357,1180.0,3600,0
2,1.75,2330.0,7280.0,1.0,no,fair,7,1450.0,880,36,98188,47.4282,-122.28,1830.0,12178,1
3,1.0,1410.0,18600.0,1.0,no,excellent,7,1410.0,0,58,98059,47.5031,-122.152,1610.0,24941,0
3,1.5,1060.0,5750.0,1.0,no,okay,7,1060.0,0,37,98126,47.5532,-122.372,1060.0,5750,0
4,3.5,4370.0,18361.0,2.0,no,fair,10,4370.0,0,17,98065,47.544,-121.872,4190.0,13641,0
3,2.5,2080.0,4931.0,2.0,no,fair,8,2080.0,0,18,98065,47.5342,-121.868,1890.0,4229,0
3,2.0,1340.0,3000.0,2.0,no,excellent,7,1340.0,0,113,98103,47.6857,-122.349,1120.0,3000,0
3,1.0,1030.0,8164.0,1.0,no,good,7,1030.0,0,68,98133,47.7353,-122.334,1340.0,8164,0
4,3.5,2490.0,5500.0,2.0,no,fair,9,1780.0,710,3,98136,47.5499,-122.393,1710.0,5500,1
4,2.5,2440.0,7797.0,1.0,no,fair,8,1560.0,880,53,98031,47.3895,-122.222,2090.0,8100,1
4,2.25,1964.0,3541.0,2.0,no,fair,9,1964.0,0,5,98030,47.3594,-122.201,1757.0,3547,0
2,1.0,2160.0,12960.0,1.0,no,fair,7,1360.0,800,50,98168,47.4702,-122.261,2070.0,12960,1
5,1.75,1930.0,8040.0,1.0,no,good,8,1930.0,0,52,98023,47.3109,-122.376,2370.0,8000,0
3,2.0,1570.0,5706.0,1.0,no,fair,7,1570.0,0,20,98092,47.3156,-122.188,1570.0,5706,0
2,2.0,1410.0,12282.0,1.5,no,excellent,8,1410.0,0,109,98024,47.5242,-121.926,1410.0,8931,0
4,2.5,3010.0,6903.0,2.0,no,fair,9,3010.0,0,17,98056,47.5213,-122.193,2860.0,6435,0
